actual_value,predicted_value
4.526,3.9625998975359886
3.585,3.8933110266757662
3.521,3.5107308773817425
3.413,2.8344909783043257
3.422,2.083429770634944
2.697,2.167131622115112
2.992,1.9918341163988722
2.414,1.7631894956893353
2.267,1.3266264995192647
2.611,1.9914779598446226
2.815,1.8047923632087572
2.418,1.8165747895276776
2.135,1.7467983705552033
1.913,1.5996382994756226
1.592,1.2596115559391217
1.4,1.3606292603894987
1.525,1.6297637363997701
1.555,1.3615492739244859
1.587,1.296016467654044
1.629,1.5604972668202473
1.475,1.0478938214059696
1.598,1.182994471552556
1.139,1.1834578718884061
0.997,1.3798536959354042
1.326,1.5506761913715101
1.075,1.4886467240922903
0.938,1.5038019705327539
1.055,1.2166462519204368
1.089,1.1469120840527278
1.32,1.187142047763287
1.223,1.2716844143817962
1.152,1.2784358845939223
1.104,1.211898800791951
1.049,1.04505011215592
1.097,1.5973233676665168
0.972,1.0974225787774317
1.045,0.9216380912609999
1.039,1.0576300807556316
1.914,1.9270361679456902
1.76,1.535809736178598
1.554,1.3422291404398519
1.5,1.0124191462369316
1.188,0.9078883319930938
1.888,2.1364797060089145
1.844,1.7325948052618414
1.823,1.5901684728331467
1.425,1.3217918016185046
1.375,1.1993037061332403
1.875,0.8757753271714517
1.125,1.2144080932215524
1.719,0.8573771156484299
0.938,1.0901675136607245
0.975,0.8987991429662902
1.042,0.9795918933613335
0.875,1.1461747159312563
0.831,1.065474984299744
0.875,1.1034789189120675
0.853,0.8090082549131634
0.803,0.969697302009134
0.6,1.5654114217467545
0.757,1.8936798456165411
0.75,3.0439719253772317
0.861,0.851555580723661
0.761,0.9694739024257837
0.735,1.5610474124625795
0.784,0.9622836040797837
0.844,0.8068366016262548
0.813,1.5604847321089377
0.85,1.2549303493815231
1.292,0.8500447121577869
0.825,1.2201247581879882
0.952,0.7805349636469496
0.75,1.2040307925651732
0.675,0.7084856012810752
1.375,1.5199734523390955
1.775,0.8572967760350914
1.021,1.4788683054144633
1.083,0.9348632650317283
1.125,0.7966798151316458
1.313,1.3224573266594373
1.625,1.1030829420207313
1.125,0.9761436206870716
1.125,1.1219425080277525
1.375,0.820523966310633
1.188,1.2349277378012724
0.982,1.4857754468100242
1.188,0.88266818682256
1.625,0.7949482540991134
1.375,0.8954522154795563
5.00001,1.0032161823125914
1.625,1.344460040691044
1.375,0.8301690622210627
1.625,0.8030839360338029
1.875,1.5721595110108322
1.792,1.2227961200696615
1.3,1.232374416758444
1.838,1.6172032706292332
1.25,1.323809212287835
1.7,0.9443429910153167
1.931,1.5299436933837363
2.578,1.4663268083477985
2.734,1.7632400338687737
2.375,1.7874829504703882
3.5,1.5437668460926692
3.357,1.6020594605092215
3.134,2.5356259149584934
2.685,1.8400056212846518
2.594,1.796911556741088
2.757,2.081005496003702
2.25,2.0811516035922564
2.625,2.603352349749049
2.185,1.5449183500472246
2.55,1.7068139096149473
2.241,1.7811369029223392
2.431,1.9249546308857663
2.316,1.7918508338268002
2.185,1.4317742256003754
2.341,1.7322955316936346
3.276,2.9130842231899243
3.476,2.671990077195906
3.661,2.9583022663098166
3.35,2.563093899318112
3.736,3.1133019673079394
3.895,2.6225465441263633
3.911,3.4909673446533915
3.373,2.7138294865172345
2.952,3.5978612292856043
2.923,2.9696358416093953
4.115,3.603060831293783
3.115,3.004086978660896
3.259,3.4087002543600713
3.926,5.324577112139177
3.193,3.5910143500370495
3.333,3.328359054203629
3.352,3.9090594445722333
3.512,3.987434839450596
3.689,3.3382869038770537
3.659,3.950414566893957
3.667,3.413345022765349
3.628,3.1011983496395454
4.833,3.1524215567629454
3.314,3.4187180816846587
3.235,3.2976184040247642
2.167,1.664838601697731
2.331,1.7524049696671655
2.964,2.6693675515079325
2.737,3.195376332719395
2.277,1.8245602159641632
1.996,1.72807096615137
2.398,2.3569880221272417
2.701,2.173456098277363
3.021,2.6992880583797967
2.695,1.7907644900898982
3.147,2.4684542397414524
3.901,3.8713813231559473
4.103,4.176970849537792
3.524,3.3327836138542386
2.873,2.996085553813364
3.487,3.6049149323067207
2.438,1.6134454724861822
2.115,1.4009749757289576
2.184,1.7183633113346315
2.699,1.9995515333724452
2.188,1.8000103096253173
2.25,1.6697397977893367
2.5,1.3486141243920224
1.714,1.1348752893323129
1.938,1.0356597496797675
